Hashcat synthetic benchmark suite
  Modes:    6
  Vec widths: [1, 2, 4, 8]
  Trials:   10
  Total runs: 240
  Est. time:  ~40 minutes
  GPU:      Apple M3 Max
  Backend:  Metal
  Hashcat:  v7.1.2-386-g8000b3e60+


--- Mode 0: MD5 ---
  Vec:2 trial 10/10: 136200.0 MH/s
  Vec:4 trial 1/10: 178500.0 MH/s
  Vec:4 trial 2/10: 180600.0 MH/s
  Vec:4 trial 3/10: 180300.0 MH/s
  Vec:4 trial 4/10: 181200.0 MH/s
  Vec:4 trial 5/10: 180100.0 MH/s
  Vec:4 trial 6/10: 180800.0 MH/s
  Vec:4 trial 7/10: 179500.0 MH/s
  Vec:4 trial 8/10: 180100.0 MH/s
  Vec:4 trial 9/10: 180700.0 MH/s
  Vec:4 trial 10/10: 179600.0 MH/s
  Vec:8 trial 1/10: 180500.0 MH/s
  Vec:8 trial 2/10: 180900.0 MH/s
  Vec:8 trial 3/10: 177100.0 MH/s
  Vec:8 trial 4/10: 181000.0 MH/s
  Vec:8 trial 5/10: 178900.0 MH/s
  Vec:8 trial 6/10: 180100.0 MH/s
  Vec:8 trial 7/10: 180300.0 MH/s
  Vec:8 trial 8/10: 181700.0 MH/s
  Vec:8 trial 9/10: 181000.0 MH/s
  Vec:8 trial 10/10: 180300.0 MH/s

===================================================================================================================
BENCHMARK RESULTS - v7.1.2-386-g8000b3e60+
GPU: Apple M3 Max
Backend: Metal
Timestamp: 2026-04-16T20:57:07Z
===================================================================================================================

Mode    Name                                   Vec1 MH/s    Vec2 MH/s   V2vs1%    Vec4 MH/s   V4vs1%  Best
-------------------------------------------------------------------------------------------------------------------
0       MD5                                      18651.3      20459.4    +9.7%      19962.3    +7.0% Vec:2
1411    SSHA-256(Base64), LDAP {SSHA256}          2980.1       2931.7    -1.6%       2377.3   -20.2% Vec:1
1470    sha256(utf16le($pass))                    2975.2       2918.3    -1.9%       2360.8   -20.6% Vec:1
5500    NetNTLMv1 / NetNTLMv1+ESS                21129.9      22349.3    +5.8%      21159.3    +0.1% Vec:2
7300    IPMI2 RAKP HMAC-SHA1                      1033.8        812.3   -21.4%        676.4   -34.6% Vec:1
18700   Java Object hashCode()                  105190.0     135790.0   +29.1%     180140.0   +71.3% Vec:8

Results saved to: results/apple-m3-max/targeted-rerun/apple-m3-max/20260416T205708Z/
